FederalID	College	State	Type	avg_salary_all	avg_comp_all	n_full	n_assoc	n_asst	n_instructors	n_all	avg_salary_full	avg_salary_assoc	avg_salary_asst	avg_comp_full	avg_comp_assoc	avg_comp_asst
1433	"Wesley College"	"DE"	"IIB"	376	456	14	12	22	1	49	448	373	334	565	449	396
1466	"Barry University"	"FL"	"IIA"	394	477	39	77	84	15	215	488	420	350	598	508	424
1468	"St. Thomas University"	"FL"	"IIA"	403	480	23	22	37	4	90	438	482	351	520	570	421
1479	"Embry-Riddle Aero University"	"FL"	"IIA"	365	446	70	130	84	7	299	457	369	310	556	452	383
1480	"Florida A & M University"	"FL"	"IIA"	424	540	103	123	111	27	364	524	426	359	661	543	460
1481	"Florida Atlantic University"	"FL"	"IIA"	461	601	183	147	159	30	528	580	426	394	750	559	517
1487	"Eckerd College"	"FL"	"IIB"	436	563	32	18	37	0	87	534	424	357	676	547	472
1488	"Florida Southern College"	"FL"	"IIB"	369	463	30	18	44	4	96	440	369	331	552	473	409
1489	"Florida State University"	"FL"	"I"	473	616	510	316	192	16	1038	564	399	378	729	525	494
1515	"Rollins College"	"FL"	"IIA"	457	564	78	43	26	7	154	542	420	321	678	519	378
1531	"Stetson University"	"FL"	"IIA"	477	605	61	52	65	2	185	622	437	370	794	561	467
1535	"University of Florida"	"FL"	"I"	501	653	981	721	510	49	2261	613	430	399	790	567	527
1536	"University of Miami"	"FL"	"I"	513	659	291	200	147	20	769	693	510	408	895	654	514
1537	"University of South Florida"	"FL"	"I"	455	591	387	319	239	45	1038	571	418	369	735	547	483
1538	"University of Tampa"	"FL"	"IIB"	416	497	36	37	46	4	127	495	425	371	593	513	438
3954	"University Central Florida"	"FL"	"IIA"	435	545	176	207	162	42	593	560	420	369	698	527	465
3955	"University of West Florida"	"FL"	"IIA"	390	507	59	65	75	22	221	489	391	350	636	505	458
8849	"Palm Beach Atlantic College"	"FL"	"IIB"	348	412	11	14	28	13	66	413	369	333	491	451	390
9635	"Florida Internat'l Univ."	"FL"	"IIA"	433	562	182	261	220	76	767	558	423	395	719	553	509
9841	"University of North Florida"	"FL"	"IIB"	408	547	73	81	57	19	230	498	405	343	663	544	462
1542	"Agnes Scott College"	"GA"	"IIB"	426	528	19	24	19	4	66	527	421	356	651	528	441
1544	"Albany State College"	"GA"	"IIB"	371	484	38	24	68	8	138	444	395	335	578	519	437
1546	"Armstrong State College"	"GA"	"IIB"	347	434	38	32	119	12	201	462	367	315	588	457	391
1552	"Augusta College"	"GA"	"IIA"	383	489	40	43	79	21	183	503	409	336	645	520	431
1554	"Berry College"	"GA"	"IIB"	399	509	25	20	38	3	92	515	403	343	650	519	439
1561	"Columbus College"	"GA"	"IIA"	396	515	75	50	51	2	178	456	375	333	588	491	437
1564	"Emory University"	"GA"	"I"	608	753	203	177	161	8	549	796	547	451	972	686	567
1566	"Fort Valley State College"	"GA"	"IIB"	379	487	37	39	49	17	142	471	382	339	596	490	439
1569	"Georgia Institute of Tech."	"GA"	"I"	558	711	235	206	167	17	626	684	517	462	862	665	594
1570	"Southern Coll. of Technology"	"GA"	"IIB"	398	511	44	58	40	4	146	457	386	360	587	496	460
1572	"Georgia Southern University"	"GA"	"IIA"	363	453	105	135	254	109	603	495	408	328	623	509	407
1574	"Georgia State University"	"GA"	"I"	502	624	258	254	241	40	793	666	474	390	817	594	493
1577	"Kennesaw State College"	"GA"	"IIA"	399	506	69	116	111	54	350	523	428	353	661	542	445
1580	"Mercer University-Entire"	"GA"	"IIA"	433	540	76	78	81	11	246	555	423	351	686	538	435
1586	"Oglethorpe University"	"GA"	"IIB"	450	546	21	9	10	0	44	516	454	329	630	550	390
1591	"Shorter College"	"GA"	"IIB"	317	379	16	17	17	5	55	370	308	294	439	368	355
1598	"University of Georgia"	"GA"	"I"	489	607	650	552	391	64	1658	619	444	378	768	553	464
1599	"Valdosta State University"	"GA"	"IIA"	390	500	88	90	114	19	311	477	386	344	603	496	445
1601	"West Georgia College"	"GA"	"IIA"	392	502	98	50	97	27	272	466	391	353	595	502	454
1602	"Georgia College"	"GA"	"IIA"	373	479	47	41	80	11	179	447	388	340	571	496	440
3484	"Covenant College"	"GA"	"IIB"	388	484	19	12	6	1	38	429	371	312	519	492	390
1610	"Univ. of Hawaii at Manoa"	"HI"	"I"	570	719	442	285	272	100	1099	713	532	458	887	677	587
21078	"Univ. of Hawaii-West Oahu"	"HI"	"IIB"	449	576	8	4	8	0	20	513		396	654		512
29020	"Univ. of Hawaii at Hilo"	"HI"	"IIB"	467	598	43	47	37	14	141	576	461	414	731	591	534
1846	"Briar Cliff College"	"IA"	"IIB"	313	398	16	13	28	3	60	367	324	286	473	412	359
1847	"Buena Vista College"	"IA"	"IIB"	382	486	20	12	30	10	72	484	416	339	606	522	440
1850	"Central University of Iowa"	"IA"	"IIB"	395	483	23	36	22	8	89	464	413	334	572	507	405
1852	"Clarke College"	"IA"	"IIB"	338	407	11	10	25	8	54	436	361	312	512	445	379
1854	"Coe College"	"IA"	"IIB"	436	570	30	21	22	0	73	516	421	340	671	541	459
1856	"Cornell College"	"IA"	"IIB"	468	574	31	22	17	5	75	578	426	368	693	534	463
1859	"Dordt College"	"IA"	"IIB"	355	472	30	14	16	12	72	411	356	308	548	470	406
1860	"Drake University"	"IA"	"IIA"	481	600	101	61	107	16	285	601	458	409	762	578	496
1866	"Graceland College"	"IA"	"IIB"	345	418	26	11	29	1	70	411	331	301	490	401	366
1867	"Grand View College"	"IA"	"IIB"	329	416	22	31	20	2	75	385	320	295	481	405	377
1868	"Grinnell College"	"IA"	"IIB"	513	638	46	36	52	3	139	642	517	405	809	641	496
1869	"Iowa State University"	"IA"	"I"	534	666	467	353	284	84	1188	684	506	404	842	635	514
1873	"Loras College"	"IA"	"IIB"	363	445	37	35	31	6	109	419	363	314	531	438	378
1874	"Luther College"	"IA"	"IIB"	404	531	63	26	50	16	155	478	399	347	630	548	445
1879	"Morningside College"	"IA"	"IIB"	341	425	20	29	16	1	66	389	331	303	495	414	365
1880	"Mount Mercy College"	"IA"	"IIB"	337	405	7	20	28	8	63	379	356	334	465	427	396
1881	"Mount St. Clare College"	"IA"	"IIA"	302	373	0	0	0	0	18						
1883	"Northwestern College"	"IA"	"IIB"	344	434	9	16	27	6	58	430	372	311	531	477	394
1887	"Simpson College"	"IA"	"IIB"	394	504	25	11	17	14	67	491	377	339	645	473	434
1889	"St. Ambrose University"	"IA"	"IIB"	362	450	29	15	44	8	98	431	374	325	541	471	401
1890	"University of Northern Iowa"	"IA"	"IIA"	447	561	155	152	226	89	622	586	469	390	730	591	491
1891	"University of Dubuque"	"IA"	"IIB"	323	396	19	23	14	2	58	351	315	309	443	392	358
1892	"University of Iowa"	"IA"	"I"	579	723	486	308	260	10	1064	706	509	432	872	643	549
1893	"Upper Iowa University"	"IA"	"IIB"	303	366	4	5	6	12	27			287			348
1896	"Wartburg College"	"IA"	"IIB"	358	451	25	21	29	4	89	447	370	308	564	469	385
1899	"Teikyo Westmar University"	"IA"	"IIB"	292	359	5	13	22	14	54		314	289		388	355
1900	"William Penn College"	"IA"	"IIB"	294	363	8	11	19	7	45	351	312	269	420	386	335
1616	"Boise State University"	"ID"	"IIA"	391	498	157	111	100	7	427	448	391	354	566	498	453
1617	"Albertson Coll. of Idaho"	"ID"	"IIB"	336	428	16	20	19	1	56	424	338	266	540	430	338
1620	"Idaho State University"	"ID"	"IIA"	368	471	128	99	113	120	460	466	382	337	588	487	433
1621	"Lewis-Clark State College"	"ID"	"IIB"	338	436	39	35	35	1	110	391	329	292	499	425	381
1624	"Northwest Nazarene College"	"ID"	"IIB"	341	448	0	0	0	0	71						
1626	"University of Idaho"	"ID"	"I"	438	550	217	165	155	9	546	514	408	373	640	514	472
1633	"Augustana College"	"IL"	"IIB"	418	517	41	28	50	18	137	527	425	362	648	523	449
1634	"Aurora University"	"IL"	"IIB"	372	447	18	16	19	16	69	434	379	339	528	461	402
1635	"Barat College"	"IL"	"IIB"	402	474	9	9	14	0	32	507	405	333	599	473	394
1639	"Blackburn University"	"IL"	"IIB"	312	370	0	0	0	0	23						
1641	"Bradley University"	"IL"	"IIA"	442	529	75	88	100	30	295	570	464	378	679	562	449
1664	"College of Saint Francis"	"IL"	"IIB"	392	489	12	15	23	0	50	446	422	345	551	524	435
1665	"Columbia College"	"IL"	"IIB"	349	446	0	0	0	0	171						
1666	"Concordia University"	"IL"	"IIB"	351	435	30	23	24	1	78	399	351	295	487	435	374
1671	"DePaul University"	"IL"	"IIA"	524	648	120	173	152	55	500	702	543	427	857	681	527
1674	"Eastern Illinois University"	"IL"	"IIA"	364	428	190	161	120	87	560	442	373	333	515	438	393
1678	"Eureka College"	"IL"	"IIB"	355	438	5	16	16	0	37		370	315		458	390
1684	"Greenville College"	"IL"	"IIB"	336	422	27	11	15	4	57	374	331	292	466	424	370
1688	"Illinois College"	"IL"	"IIB"	424	502	16	18	14	3	51	522	424	347	621	503	410
1691	"Illinois Institute of Tech."	"IL"	"I"	512	636	93	81	73	11	287	680	480	452	836	606	558
1692	"Illinois State University"	"IL"	"I"	460	541	289	187	244	0	720	548	436	373	638	514	445
1693	"Northeastern Illinois Univ."	"IL"	"IIA"	394	455	139	88	71	0	331	460	378	359	529	439	418
1694	"Chicago State University"	"IL"	"IIA"	345	399	120	65	77	14	351	446	369	320	509	425	371
1696	"Illinois Wesleyan University"	"IL"	"IIB"	445	572	32	42	47	8	129	570	452	374	729	593	477
1700	"Judson College"	"IL"	"IIB"	358	438	10	12	6	1	29	400	358	305	486	445	366
1703	"Kendall College"	"IL"	"IIB"	319	377	1	11	3	4	19		357			423	
1704	"Knox College"	"IL"	"IIB"	432	544	35	17	20	5	77	508	414	342	650	518	416
1706	"Lake Forest College"	"IL"	"IIB"	495	662	26	22	24	5	81	644	475	402	843	650	543
1707	"Lewis University"	"IL"	"IIA"	357	437	37	20	29	52	138	467	392	330	561	481	407
1710	"Loyola Univ. of Chicago"	"IL"	"I"	570	701	164	230	163	6	563	761	536	433	924	664	536
1717	"MacMurray College"	"IL"	"IIB"	262	318	13	9	16	31	69	324	263	250	393	334	307
1722	"McKendree College"	"IL"	"IIB"	381	467	16	10	16	5	47	433	397	341	539	493	407
1724	"Millikin University"	"IL"	"IIB"	386	472	34	38	46	6	124	478	409	313	583	501	383
1725	"Monmouth College"	"IL"	"IIB"	381	464	20	12	11	1	44	443	339	325	544	412	385
1733	"National-Louis University"	"IL"	"IIA"	348	405	20	51	120	23	253	490	405	337	566	472	394
1734	"North Central College"	"IL"	"IIB"	398	497	24	40	28	5	97	473	399	348	588	501	437
1735	"North Park College"	"IL"	"IIB"	339	431	23	18	18	2	65	415	337	285	540	426	352
1737	"Northern Illinois University"	"IL"	"I"	440	515	314	266	246	112	944	578	435	375	667	509	443
1739	"Northwestern University"	"IL"	"I"	712	868	460	209	203	0	872	860	596	496	1045	735	602
1741	"Olivet Nazarene University"	"IL"	"IIA"	320	395	26	22	36	8	92	391	335	278	476	412	346
1744	"Principia College"	"IL"	"IIB"	395	490	20	9	13	7	49	465	400	345	572	540	414
1745	"Quincy University"	"IL"	"IIB"	345	427	18	21	14	2	55	372	371	285	459	462	351
1749	"Roosevelt University"	"IL"	"IIA"	416	531	50	58	42	2	152	484	405	359	610	517	464
1750	"Rosary College"	"IL"	"IIB"	382	468	10	25	34	3	72	448	378	377	543	479	454
1758	"Southern Ill.Univ-Carbondale"	"IL"	"I"	422	500	272	255	313	33	977	564	436	359	657	517	431
1759	"Southern Ill.Univ-Edwardsvle"	"IL"	"IIA"	453	531	168	126	95	24	421	531	442	389	616	520	462
1767	"Illinois Benedictine College"	"IL"	"IIA"	409	511	38	36	17	0	91	463	395	315	576	493	403
1768	"Saint Xavier University"	"IL"	"IIA"	439	531	22	78	53	6	159	551	452	388	667	548	471
1772	"Trinity College"	"IL"	"IIB"	320	377	5	11	13	2	31		346	291		406	347
1774	"University of Chicago"	"IL"	"I"	742	916	467	138	161	36	802	894	586	515	1104	724	636
1775	"Univ. of Illinois-Urbana"	"IL"	"I"	570	659	927	520	393	1	1868	682	493	421	783	574	494
1776	"Univ. of Illinois-Chicago"	"IL"	"I"	513	596	401	369	296	20	1135	656	476	411	755	555	483
1780	"Western Illinois University"	"IL"	"IIA"	421	493	241	171	123	62	606	506	427	350	587	500	414
1781	"Wheaton College"	"IL"	"IIA"	452	574	67	54	32	3	156	510	437	368	640	569	461
3970	"Parks Coll.of St.Louis Univ."	"IL"	"IIB"	487	591	15	12	16	4	47	576	540	396	694	660	480
9333	"Sangamon State University"	"IL"	"IIA"	433	516	50	62	46	5	163	499	437	370	594	516	447
1785	"Anderson University"	"IN"	"IIB"	347	437	43	45	36	14	138	415	340	316	532	427	389
1786	"Ball State University"	"IN"	"I"	384	501	297	160	350	155	965	517	410	332	666	537	438
1787	"Bethel College"	"IN"	"IIB"	295	376	5	4	26	1	36			285			363
1788	"Butler University"	"IN"	"IIA"	439	544	72	66	77	3	220	521	442	366	650	551	447
